Height (m)  50th percentile particle concentration (-)  84th percentile particle concentration (-)  16th percentile particle concentration (-)
    0.230             0.70282E-03                                  0.19959E-04                                  0.46044E-03
    0.240             0.63851E-03                                  0.17343E-04                                  0.42835E-03
    0.250             0.58235E-03                                  0.15157E-04                                  0.39968E-03
    0.260             0.53305E-03                                  0.13316E-04                                  0.37394E-03
    0.270             0.48956E-03                                  0.11755E-04                                  0.35074E-03
    0.280             0.45100E-03                                  0.10424E-04                                  0.32974E-03
    0.290             0.41667E-03                                  0.92822E-05                                  0.31068E-03
    0.300             0.38599E-03                                  0.82980E-05                                  0.29330E-03
    0.310             0.35846E-03                                  0.74451E-05                                  0.27742E-03
    0.320             0.33368E-03                                  0.67028E-05                                  0.26287E-03
    0.330             0.31129E-03                                  0.60538E-05                                  0.24949E-03
    0.340             0.29101E-03                                  0.54841E-05                                  0.23716E-03
    0.350             0.27258E-03                                  0.49821E-05                                  0.22577E-03
    0.360             0.25578E-03                                  0.45382E-05                                  0.21523E-03
    0.370             0.24044E-03                                  0.41444E-05                                  0.20545E-03
    0.380             0.22639E-03                                  0.37937E-05                                  0.19635E-03
    0.390             0.21349E-03                                  0.34807E-05                                  0.18788E-03
    0.400             0.20163E-03                                  0.32003E-05                                  0.17997E-03
    0.410             0.19069E-03                                  0.29486E-05                                  0.17258E-03
    0.420             0.18059E-03                                  0.27220E-05                                  0.16567E-03
    0.430             0.17124E-03                                  0.25174E-05                                  0.15918E-03
    0.440             0.16257E-03                                  0.23324E-05                                  0.15308E-03
    0.450             0.15452E-03                                  0.21646E-05                                  0.14735E-03
    0.460             0.14704E-03                                  0.20121E-05                                  0.14195E-03
    0.470             0.14006E-03                                  0.18733E-05                                  0.13686E-03
    0.480             0.13355E-03                                  0.17467E-05                                  0.13206E-03
    0.490             0.12747E-03                                  0.16309E-05                                  0.12751E-03
    0.500             0.12178E-03                                  0.15249E-05                                  0.12321E-03
    0.510             0.11645E-03                                  0.14276E-05                                  0.11914E-03
    0.520             0.11145E-03                                  0.13382E-05                                  0.11527E-03
    0.530             0.10675E-03                                  0.12560E-05                                  0.11160E-03
    0.540             0.10233E-03                                  0.11802E-05                                  0.10811E-03
    0.550             0.98172E-04                                  0.11102E-05                                  0.10480E-03
    0.560             0.94251E-04                                  0.10454E-05                                  0.10164E-03
    0.570             0.90552E-04                                  0.98552E-06                                  0.98626E-04
    0.580             0.87058E-04                                  0.92998E-06                                  0.95755E-04
    0.590             0.83756E-04                                  0.87842E-06                                  0.93015E-04
    0.600             0.80630E-04                                  0.83050E-06                                  0.90396E-04
    0.610             0.77670E-04                                  0.78591E-06                                  0.87893E-04
    0.620             0.74864E-04                                  0.74437E-06                                  0.85499E-04
    0.630             0.72201E-04                                  0.70562E-06                                  0.83206E-04
    0.640             0.69673E-04                                  0.66945E-06                                  0.81009E-04
    0.650             0.67270E-04                                  0.63563E-06                                  0.78903E-04
    0.660             0.64984E-04                                  0.60400E-06                                  0.76883E-04
    0.670             0.62809E-04                                  0.57437E-06                                  0.74943E-04
