Height (m)  50th percentile density (kg/m^3)   84th percentile density (kg/m^3)   16th percentile density (kg/m^3) 
    0.230               2.727                              1.263                              2.207
    0.240               2.589                              1.257                              2.138
    0.250               2.468                              1.252                              2.077
    0.260               2.363                              1.249                              2.022
    0.270               2.270                              1.245                              1.972
    0.280               2.187                              1.242                              1.927
    0.290               2.113                              1.240                              1.886
    0.300               2.048                              1.238                              1.849
    0.310               1.988                              1.236                              1.815
    0.320               1.935                              1.234                              1.784
    0.330               1.887                              1.233                              1.755
    0.340               1.844                              1.232                              1.728
    0.350               1.804                              1.231                              1.704
    0.360               1.768                              1.230                              1.681
    0.370               1.735                              1.229                              1.660
    0.380               1.705                              1.228                              1.641
    0.390               1.678                              1.227                              1.623
    0.400               1.652                              1.227                              1.606
    0.410               1.629                              1.226                              1.590
    0.420               1.607                              1.226                              1.575
    0.430               1.587                              1.225                              1.561
    0.440               1.569                              1.225                              1.548
    0.450               1.551                              1.225                              1.536
    0.460               1.535                              1.224                              1.524
    0.470               1.520                              1.224                              1.513
    0.480               1.506                              1.224                              1.503
    0.490               1.493                              1.223                              1.493
    0.500               1.481                              1.223                              1.484
    0.510               1.470                              1.223                              1.475
    0.520               1.459                              1.223                              1.467
    0.530               1.449                              1.223                              1.459
    0.540               1.439                              1.223                              1.452
    0.550               1.430                              1.222                              1.445
    0.560               1.422                              1.222                              1.438
    0.570               1.414                              1.222                              1.431
    0.580               1.407                              1.222                              1.425
    0.590               1.400                              1.222                              1.419
    0.600               1.393                              1.222                              1.414
    0.610               1.387                              1.222                              1.408
    0.620               1.380                              1.222                              1.403
    0.630               1.375                              1.222                              1.398
    0.640               1.369                              1.221                              1.394
    0.650               1.364                              1.221                              1.389
    0.660               1.359                              1.221                              1.385
    0.670               1.355                              1.221                              1.381
    0.680               1.350                              1.221                              1.377
    0.690               1.346                              1.221                              1.373
    0.700               1.342                              1.221                              1.369
    0.710               1.338                              1.221                              1.366
    0.720               1.334                              1.221                              1.362
    0.730               1.331                              1.221                              1.359
    0.740               1.328                              1.221                              1.356
    0.750               1.324                              1.221                              1.353
    0.760               1.321                              1.221                              1.350
    0.770               1.318                              1.221                              1.347
    0.780               1.315                              1.221                              1.344
    0.790               1.313                              1.221                              1.341
    0.800               1.310                              1.221                              1.339
    0.810               1.308                              1.221                              1.336
    0.820               1.305                              1.221                              1.334
    0.830               1.303                              1.221                              1.332
    0.840               1.301                              1.221                              1.329
    0.850               1.299                              1.221                              1.327
    0.860               1.296                              1.221                              1.325
    0.870               1.294                              1.221                              1.323
    0.880               1.293                              1.220                              1.321
    0.890               1.291                              1.220                              1.319
    0.900               1.289                              1.220                              1.317
    0.910               1.287                              1.220                              1.315
    0.920               1.286                              1.220                              1.314
    0.930               1.284                              1.220                              1.312
    0.940               1.282                              1.220                              1.310
    0.950               1.281                              1.220                              1.309
    0.960               1.280                              1.220                              1.307
    0.970               1.278                              1.220                              1.306
    0.980               1.277                              1.220                              1.304
    0.990               1.276                              1.220                              1.303
    1.000               1.274                              1.220                              1.301
    1.010               1.273                              1.220                              1.300
    1.020               1.272                              1.220                              1.299
    1.030               1.271                              1.220                              1.297
    1.040               1.270                              1.220                              1.296
    1.050               1.269                              1.220                              1.295
    1.060               1.268                              1.220                              1.294
    1.070               1.267                              1.220                              1.292
    1.080               1.266                              1.220                              1.291
    1.090               1.265                              1.220                              1.290
    1.100               1.264                              1.220                              1.289
    1.110               1.263                              1.220                              1.288
    1.120               1.262                              1.220                              1.287
    1.130               1.261                              1.220                              1.286
    1.140               1.260                              1.220                              1.285
    1.150               1.260                              1.220                              1.284
    1.160               1.259                              1.220                              1.283
    1.170               1.258                              1.220                              1.282
    1.180               1.257                              1.220                              1.281
    1.190               1.257                              1.220                              1.281
    1.200               1.256                              1.220                              1.280
    1.210               1.255                              1.220                              1.279
    1.220               1.255                              1.220                              1.278
    1.230               1.254                              1.220                              1.277
    1.240               1.253                              1.220                              1.276
    1.250               1.253                              1.220                              1.276
    1.260               1.252                              1.220                              1.275
    1.270               1.252                              1.220                              1.274
    1.280               1.251                              1.220                              1.273
    1.290               1.250                              1.220                              1.273
    1.300               1.250                              1.220                              1.272
    1.310               1.249                              1.220                              1.271
    1.320               1.249                              1.220                              1.271
    1.330               1.248                              1.220                              1.270
    1.340               1.248                              1.220                              1.269
    1.350               1.247                              1.220                              1.269
    1.360               1.247                              1.220                              1.268
    1.370               1.247                              1.220                              1.268
    1.380               1.246                              1.220                              1.267
    1.390               1.246                              1.220                              1.266
    1.400               1.245                              1.220                              1.266
    1.410               1.245                              1.220                              1.265
    1.420               1.244                              1.220                              1.265
    1.430               1.244                              1.220                              1.264
    1.440               1.244                              1.220                              1.264
    1.450               1.243                              1.220                              1.263
    1.460               1.243                              1.220                              1.263
