Height (m)  50th percentile dynamic pressure (Pa)  84th percentile dynamic pressure (Pa)  16th percentile dynamic pressure (Pa)
    0.230              0.4122E+03                             0.7820E+03                             0.6875E+02
    0.240              0.3964E+03                             0.7674E+03                             0.6933E+02
    0.250              0.3826E+03                             0.7545E+03                             0.6992E+02
    0.260              0.3705E+03                             0.7430E+03                             0.7052E+02
    0.270              0.3599E+03                             0.7329E+03                             0.7112E+02
    0.280              0.3505E+03                             0.7239E+03                             0.7172E+02
    0.290              0.3422E+03                             0.7158E+03                             0.7231E+02
    0.300              0.3349E+03                             0.7087E+03                             0.7291E+02
    0.310              0.3283E+03                             0.7022E+03                             0.7349E+02
    0.320              0.3225E+03                             0.6965E+03                             0.7407E+02
    0.330              0.3173E+03                             0.6914E+03                             0.7465E+02
    0.340              0.3126E+03                             0.6868E+03                             0.7521E+02
    0.350              0.3085E+03                             0.6827E+03                             0.7577E+02
    0.360              0.3047E+03                             0.6791E+03                             0.7632E+02
    0.370              0.3014E+03                             0.6758E+03                             0.7686E+02
    0.380              0.2984E+03                             0.6729E+03                             0.7739E+02
    0.390              0.2957E+03                             0.6703E+03                             0.7791E+02
    0.400              0.2933E+03                             0.6680E+03                             0.7843E+02
    0.410              0.2911E+03                             0.6660E+03                             0.7893E+02
    0.420              0.2892E+03                             0.6642E+03                             0.7943E+02
    0.430              0.2874E+03                             0.6626E+03                             0.7992E+02
    0.440              0.2859E+03                             0.6613E+03                             0.8040E+02
    0.450              0.2845E+03                             0.6601E+03                             0.8088E+02
    0.460              0.2832E+03                             0.6591E+03                             0.8134E+02
    0.470              0.2821E+03                             0.6582E+03                             0.8180E+02
    0.480              0.2811E+03                             0.6575E+03                             0.8225E+02
    0.490              0.2803E+03                             0.6569E+03                             0.8270E+02
    0.500              0.2795E+03                             0.6564E+03                             0.8314E+02
    0.510              0.2788E+03                             0.6560E+03                             0.8357E+02
    0.520              0.2782E+03                             0.6558E+03                             0.8399E+02
    0.530              0.2777E+03                             0.6556E+03                             0.8441E+02
    0.540              0.2773E+03                             0.6555E+03                             0.8482E+02
    0.550              0.2769E+03                             0.6555E+03                             0.8523E+02
    0.560              0.2766E+03                             0.6556E+03                             0.8563E+02
    0.570              0.2764E+03                             0.6557E+03                             0.8603E+02
    0.580              0.2762E+03                             0.6559E+03                             0.8642E+02
    0.590              0.2761E+03                             0.6562E+03                             0.8680E+02
    0.600              0.2760E+03                             0.6565E+03                             0.8718E+02
    0.610              0.2759E+03                             0.6569E+03                             0.8755E+02
    0.620              0.2759E+03                             0.6573E+03                             0.8792E+02
    0.630              0.2759E+03                             0.6577E+03                             0.8829E+02
    0.640              0.2760E+03                             0.6582E+03                             0.8865E+02
    0.650              0.2760E+03                             0.6588E+03                             0.8900E+02
    0.660              0.2761E+03                             0.6593E+03                             0.8935E+02
    0.670              0.2763E+03                             0.6599E+03                             0.8970E+02
    0.680              0.2764E+03                             0.6605E+03                             0.9004E+02
    0.690              0.2766E+03                             0.6612E+03                             0.9038E+02
    0.700              0.2768E+03                             0.6619E+03                             0.9071E+02
    0.710              0.2770E+03                             0.6626E+03                             0.9104E+02
    0.720              0.2773E+03                             0.6633E+03                             0.9136E+02
    0.730              0.2775E+03                             0.6641E+03                             0.9169E+02
    0.740              0.2778E+03                             0.6648E+03                             0.9200E+02
    0.750              0.2781E+03                             0.6656E+03                             0.9232E+02
    0.760              0.2784E+03                             0.6664E+03                             0.9263E+02
    0.770              0.2787E+03                             0.6673E+03                             0.9294E+02
    0.780              0.2790E+03                             0.6681E+03                             0.9324E+02
    0.790              0.2793E+03                             0.6689E+03                             0.9354E+02
    0.800              0.2796E+03                             0.6698E+03                             0.9384E+02
    0.810              0.2800E+03                             0.6707E+03                             0.9413E+02
    0.820              0.2804E+03                             0.6715E+03                             0.9442E+02
    0.830              0.2807E+03                             0.6724E+03                             0.9471E+02
    0.840              0.2811E+03                             0.6733E+03                             0.9500E+02
    0.850              0.2815E+03                             0.6742E+03                             0.9528E+02
    0.860              0.2818E+03                             0.6752E+03                             0.9556E+02
    0.870              0.2822E+03                             0.6761E+03                             0.9584E+02
    0.880              0.2826E+03                             0.6770E+03                             0.9611E+02
    0.890              0.2830E+03                             0.6779E+03                             0.9638E+02
    0.900              0.2834E+03                             0.6789E+03                             0.9665E+02
    0.910              0.2838E+03                             0.6798E+03                             0.9692E+02
    0.920              0.2843E+03                             0.6808E+03                             0.9718E+02
    0.930              0.2847E+03                             0.6817E+03                             0.9744E+02
    0.940              0.2851E+03                             0.6827E+03                             0.9770E+02
    0.950              0.2855E+03                             0.6836E+03                             0.9796E+02
    0.960              0.2859E+03                             0.6846E+03                             0.9821E+02
    0.970              0.2864E+03                             0.6856E+03                             0.9847E+02
    0.980              0.2868E+03                             0.6865E+03                             0.9872E+02
    0.990              0.2872E+03                             0.6875E+03                             0.9896E+02
    1.000              0.2877E+03                             0.6885E+03                             0.9921E+02
    1.010              0.2881E+03                             0.6894E+03                             0.9945E+02
    1.020              0.2885E+03                             0.6904E+03                             0.9969E+02
    1.030              0.2890E+03                             0.6914E+03                             0.9993E+02
    1.040              0.2894E+03                             0.6924E+03                             0.1002E+03
    1.050              0.2898E+03                             0.6933E+03                             0.1004E+03
    1.060              0.2903E+03                             0.6943E+03                             0.1006E+03
    1.070              0.2907E+03                             0.6953E+03                             0.1009E+03
    1.080              0.2911E+03                             0.6963E+03                             0.1011E+03
    1.090              0.2916E+03                             0.6972E+03                             0.1013E+03
    1.100              0.2920E+03                             0.6982E+03                             0.1016E+03
    1.110              0.2925E+03                             0.6992E+03                             0.1018E+03
    1.120              0.2929E+03                             0.7001E+03                             0.1020E+03
    1.130              0.2933E+03                             0.7011E+03                             0.1022E+03
    1.140              0.2938E+03                             0.7021E+03                             0.1024E+03
    1.150              0.2942E+03                             0.7030E+03                             0.1027E+03
    1.160              0.2947E+03                             0.7040E+03                             0.1029E+03
    1.170              0.2951E+03                             0.7050E+03                             0.1031E+03
    1.180              0.2955E+03                             0.7059E+03                             0.1033E+03
    1.190              0.2960E+03                             0.7069E+03                             0.1035E+03
    1.200              0.2964E+03                             0.7079E+03                             0.1037E+03
    1.210              0.2969E+03                             0.7088E+03                             0.1039E+03
    1.220              0.2973E+03                             0.7098E+03                             0.1041E+03
    1.230              0.2977E+03                             0.7107E+03                             0.1043E+03
    1.240              0.2982E+03                             0.7117E+03                             0.1045E+03
    1.250              0.2986E+03                             0.7126E+03                             0.1047E+03
    1.260              0.2990E+03                             0.7136E+03                             0.1049E+03
    1.270              0.2995E+03                             0.7145E+03                             0.1051E+03
    1.280              0.2999E+03                             0.7155E+03                             0.1053E+03
    1.290              0.3003E+03                             0.7164E+03                             0.1055E+03
    1.300              0.3007E+03                             0.7173E+03                             0.1057E+03
    1.310              0.3012E+03                             0.7183E+03                             0.1059E+03
    1.320              0.3016E+03                             0.7192E+03                             0.1061E+03
    1.330              0.3020E+03                             0.7201E+03                             0.1063E+03
    1.340              0.3024E+03                             0.7211E+03                             0.1065E+03
    1.350              0.3029E+03                             0.7220E+03                             0.1067E+03
    1.360              0.3033E+03                             0.7229E+03                             0.1069E+03
    1.370              0.3037E+03                             0.7238E+03                             0.1071E+03
    1.380              0.3041E+03                             0.7248E+03                             0.1072E+03
    1.390              0.3045E+03                             0.7257E+03                             0.1074E+03
    1.400              0.3050E+03                             0.7266E+03                             0.1076E+03
    1.410              0.3054E+03                             0.7275E+03                             0.1078E+03
    1.420              0.3058E+03                             0.7284E+03                             0.1080E+03
    1.430              0.3062E+03                             0.7293E+03                             0.1082E+03
    1.440              0.3066E+03                             0.7302E+03                             0.1083E+03
    1.450              0.3070E+03                             0.7311E+03                             0.1085E+03
    1.460              0.3074E+03                             0.7320E+03                             0.1087E+03
    1.470              0.3078E+03                             0.7329E+03                             0.1089E+03
    1.480              0.3083E+03                             0.7338E+03                             0.1090E+03
    1.490              0.3087E+03                             0.7347E+03                             0.1092E+03
    1.500              0.3091E+03                             0.7356E+03                             0.1094E+03
    1.510              0.3095E+03                             0.7364E+03                             0.1096E+03
    1.520              0.3099E+03                             0.7373E+03                             0.1097E+03
    1.530              0.3103E+03                             0.7382E+03                             0.1099E+03
    1.540              0.3107E+03                             0.7391E+03                             0.1101E+03
    1.550              0.3111E+03                             0.7400E+03                             0.1102E+03
    1.560              0.3115E+03                             0.7408E+03                             0.1104E+03
    1.570              0.3119E+03                             0.7417E+03                             0.1106E+03
    1.580              0.3122E+03                             0.7426E+03                             0.1107E+03
    1.590              0.3126E+03                             0.7434E+03                             0.1109E+03
    1.600              0.3130E+03                             0.7443E+03                             0.1110E+03
    1.610              0.3134E+03                             0.7451E+03                             0.1112E+03
    1.620              0.3138E+03                             0.7460E+03                             0.1114E+03
    1.630              0.3142E+03                             0.7468E+03                             0.1115E+03
    1.640              0.3146E+03                             0.7477E+03                             0.1117E+03
    1.650              0.3150E+03                             0.7485E+03                             0.1118E+03
    1.660              0.3153E+03                             0.7494E+03                             0.1120E+03
    1.670              0.3157E+03                             0.7502E+03                             0.1122E+03
    1.680              0.3161E+03                             0.7510E+03                             0.1123E+03
    1.690              0.3165E+03                             0.7519E+03                             0.1125E+03
    1.700              0.3169E+03                             0.7527E+03                             0.1126E+03
    1.710              0.3172E+03                             0.7535E+03                             0.1128E+03
    1.720              0.3176E+03                             0.7543E+03                             0.1129E+03
    1.730              0.3180E+03                             0.7552E+03                             0.1131E+03
    1.740              0.3184E+03                             0.7560E+03                             0.1132E+03
    1.750              0.3187E+03                             0.7568E+03                             0.1134E+03
    1.760              0.3191E+03                             0.7576E+03                             0.1135E+03
    1.770              0.3195E+03                             0.7584E+03                             0.1137E+03
    1.780              0.3198E+03                             0.7592E+03                             0.1138E+03
    1.790              0.3202E+03                             0.7600E+03                             0.1140E+03
    1.800              0.3206E+03                             0.7608E+03                             0.1141E+03
    1.810              0.3209E+03                             0.7616E+03                             0.1143E+03
    1.820              0.3213E+03                             0.7624E+03                             0.1144E+03
    1.830              0.3216E+03                             0.7632E+03                             0.1146E+03
    1.840              0.3220E+03                             0.7640E+03                             0.1147E+03
    1.850              0.3224E+03                             0.7648E+03                             0.1148E+03
    1.860              0.3227E+03                             0.7656E+03                             0.1150E+03
    1.870              0.3231E+03                             0.7664E+03                             0.1151E+03
    1.880              0.3234E+03                             0.7672E+03                             0.1153E+03
    1.890              0.3238E+03                             0.7680E+03                             0.1154E+03
    1.900              0.3241E+03                             0.7687E+03                             0.1155E+03
    1.910              0.3245E+03                             0.7695E+03                             0.1157E+03
