Height (m)  50th percentile velocity (m/s)  84th percentile velocity (m/s)  16th percentile velocity (m/s)
    0.230             17.388                           26.619                           10.435
    0.240             17.500                           26.791                           10.502
    0.250             17.607                           26.955                           10.566
    0.260             17.710                           27.112                           10.628
    0.270             17.809                           27.264                           10.688
    0.280             17.905                           27.410                           10.745
    0.290             17.997                           27.551                           10.800
    0.300             18.086                           27.688                           10.854
    0.310             18.172                           27.820                           10.905
    0.320             18.255                           27.947                           10.955
    0.330             18.336                           28.071                           11.004
    0.340             18.414                           28.191                           11.051
    0.350             18.491                           28.308                           11.097
    0.360             18.565                           28.421                           11.141
    0.370             18.637                           28.531                           11.184
    0.380             18.707                           28.638                           11.226
    0.390             18.775                           28.743                           11.267
    0.400             18.841                           28.844                           11.307
    0.410             18.906                           28.944                           11.346
    0.420             18.969                           29.041                           11.384
    0.430             19.031                           29.135                           11.421
    0.440             19.092                           29.228                           11.457
    0.450             19.151                           29.318                           11.493
    0.460             19.208                           29.406                           11.527
    0.470             19.265                           29.493                           11.561
    0.480             19.320                           29.577                           11.594
    0.490             19.374                           29.660                           11.627
    0.500             19.427                           29.742                           11.659
    0.510             19.479                           29.821                           11.690
    0.520             19.530                           29.899                           11.721
    0.530             19.580                           29.976                           11.751
    0.540             19.629                           30.051                           11.780
    0.550             19.678                           30.125                           11.809
    0.560             19.725                           30.197                           11.837
    0.570             19.771                           30.268                           11.865
    0.580             19.817                           30.338                           11.893
    0.590             19.862                           30.407                           11.920
    0.600             19.906                           30.475                           11.946
    0.610             19.950                           30.541                           11.972
    0.620             19.992                           30.607                           11.998
    0.630             20.034                           30.671                           12.023
    0.640             20.076                           30.734                           12.048
    0.650             20.116                           30.797                           12.072
    0.660             20.157                           30.858                           12.096
    0.670             20.196                           30.918                           12.120
    0.680             20.235                           30.978                           12.143
    0.690             20.273                           31.037                           12.166
    0.700             20.311                           31.094                           12.189
    0.710             20.348                           31.152                           12.211
    0.720             20.385                           31.208                           12.233
    0.730             20.421                           31.263                           12.255
    0.740             20.457                           31.318                           12.277
    0.750             20.492                           31.372                           12.298
    0.760             20.527                           31.425                           12.319
    0.770             20.561                           31.478                           12.339
    0.780             20.595                           31.530                           12.360
    0.790             20.629                           31.581                           12.380
    0.800             20.662                           31.631                           12.400
    0.810             20.694                           31.681                           12.419
    0.820             20.727                           31.731                           12.438
    0.830             20.758                           31.779                           12.458
    0.840             20.790                           31.828                           12.476
    0.850             20.821                           31.875                           12.495
    0.860             20.852                           31.922                           12.514
    0.870             20.882                           31.969                           12.532
    0.880             20.912                           32.015                           12.550
    0.890             20.942                           32.060                           12.568
    0.900             20.971                           32.105                           12.585
    0.910             21.000                           32.149                           12.603
    0.920             21.029                           32.193                           12.620
    0.930             21.057                           32.237                           12.637
    0.940             21.085                           32.280                           12.654
    0.950             21.113                           32.322                           12.670
    0.960             21.141                           32.364                           12.687
    0.970             21.168                           32.406                           12.703
    0.980             21.195                           32.447                           12.719
    0.990             21.221                           32.488                           12.735
    1.000             21.248                           32.529                           12.751
    1.010             21.274                           32.569                           12.767
    1.020             21.300                           32.608                           12.782
    1.030             21.325                           32.647                           12.798
    1.040             21.351                           32.686                           12.813
    1.050             21.376                           32.725                           12.828
    1.060             21.401                           32.763                           12.843
    1.070             21.425                           32.801                           12.858
    1.080             21.450                           32.838                           12.873
    1.090             21.474                           32.875                           12.887
    1.100             21.498                           32.912                           12.901
    1.110             21.522                           32.948                           12.916
    1.120             21.545                           32.984                           12.930
    1.130             21.569                           33.020                           12.944
    1.140             21.592                           33.055                           12.958
    1.150             21.615                           33.091                           12.972
    1.160             21.638                           33.125                           12.985
    1.170             21.660                           33.160                           12.999
    1.180             21.683                           33.194                           13.012
    1.190             21.705                           33.228                           13.025
    1.200             21.727                           33.262                           13.039
    1.210             21.748                           33.295                           13.052
    1.220             21.770                           33.328                           13.065
    1.230             21.791                           33.361                           13.078
    1.240             21.813                           33.394                           13.090
    1.250             21.834                           33.426                           13.103
    1.260             21.855                           33.458                           13.115
    1.270             21.876                           33.490                           13.128
    1.280             21.896                           33.521                           13.140
    1.290             21.917                           33.552                           13.153
    1.300             21.937                           33.583                           13.165
    1.310             21.957                           33.614                           13.177
    1.320             21.977                           33.645                           13.189
    1.330             21.997                           33.675                           13.201
    1.340             22.016                           33.705                           13.213
    1.350             22.036                           33.735                           13.224
    1.360             22.055                           33.765                           13.236
    1.370             22.075                           33.794                           13.247
    1.380             22.094                           33.824                           13.259
    1.390             22.113                           33.853                           13.270
    1.400             22.132                           33.881                           13.282
    1.410             22.150                           33.910                           13.293
    1.420             22.169                           33.938                           13.304
    1.430             22.187                           33.967                           13.315
    1.440             22.205                           33.995                           13.326
    1.450             22.224                           34.023                           13.337
    1.460             22.242                           34.050                           13.348
    1.470             22.260                           34.078                           13.358
    1.480             22.277                           34.105                           13.369
    1.490             22.295                           34.132                           13.380
    1.500             22.313                           34.159                           13.390
    1.510             22.330                           34.186                           13.401
    1.520             22.347                           34.212                           13.411
    1.530             22.365                           34.238                           13.422
    1.540             22.382                           34.265                           13.432
    1.550             22.399                           34.291                           13.442
    1.560             22.416                           34.317                           13.452
    1.570             22.432                           34.342                           13.462
    1.580             22.449                           34.368                           13.472
    1.590             22.466                           34.393                           13.482
    1.600             22.482                           34.418                           13.492
    1.610             22.499                           34.443                           13.502
    1.620             22.515                           34.468                           13.512
    1.630             22.531                           34.493                           13.521
    1.640             22.547                           34.518                           13.531
    1.650             22.563                           34.542                           13.541
    1.660             22.579                           34.566                           13.550
    1.670             22.595                           34.591                           13.560
    1.680             22.610                           34.615                           13.569
    1.690             22.626                           34.638                           13.578
    1.700             22.641                           34.662                           13.588
    1.710             22.657                           34.686                           13.597
    1.720             22.672                           34.709                           13.606
    1.730             22.687                           34.732                           13.615
    1.740             22.703                           34.756                           13.624
    1.750             22.718                           34.779                           13.633
    1.760             22.733                           34.802                           13.642
    1.770             22.747                           34.824                           13.651
    1.780             22.762                           34.847                           13.660
    1.790             22.777                           34.870                           13.669
    1.800             22.792                           34.892                           13.678
    1.810             22.806                           34.914                           13.686
    1.820             22.821                           34.936                           13.695
    1.830             22.835                           34.958                           13.704
    1.840             22.849                           34.980                           13.712
    1.850             22.864                           35.002                           13.721
    1.860             22.878                           35.024                           13.729
    1.870             22.892                           35.045                           13.738
    1.880             22.906                           35.067                           13.746
    1.890             22.920                           35.088                           13.755
    1.900             22.934                           35.109                           13.763
    1.910             22.947                           35.130                           13.771
    1.920             22.961                           35.151                           13.779
    1.930             22.975                           35.172                           13.788
    1.940             22.988                           35.193                           13.796
    1.950             23.002                           35.214                           13.804
    1.960             23.015                           35.234                           13.812
    1.970             23.029                           35.255                           13.820
    1.980             23.042                           35.275                           13.828
    1.990             23.055                           35.295                           13.836
    2.000             23.068                           35.316                           13.844
    2.010             23.081                           35.336                           13.852
    2.020             23.094                           35.356                           13.859
    2.030             23.107                           35.375                           13.867
    2.040             23.120                           35.395                           13.875
    2.050             23.133                           35.415                           13.883
    2.060             23.146                           35.434                           13.890
    2.070             23.159                           35.454                           13.898
    2.080             23.171                           35.473                           13.906
    2.090             23.184                           35.493                           13.913
    2.100             23.196                           35.512                           13.921
    2.110             23.209                           35.531                           13.928
    2.120             23.221                           35.550                           13.936
    2.130             23.234                           35.569                           13.943
    2.140             23.246                           35.588                           13.950
    2.150             23.258                           35.606                           13.958
    2.160             23.270                           35.625                           13.965
    2.170             23.283                           35.644                           13.972
    2.180             23.295                           35.662                           13.980
    2.190             23.307                           35.680                           13.987
    2.200             23.319                           35.699                           13.994
    2.210             23.330                           35.717                           14.001
    2.220             23.342                           35.735                           14.008
    2.230             23.354                           35.753                           14.015
    2.240             23.366                           35.771                           14.022
    2.250             23.378                           35.789                           14.029
    2.260             23.389                           35.807                           14.036
    2.270             23.401                           35.825                           14.043
    2.280             23.412                           35.842                           14.050
    2.290             23.424                           35.860                           14.057
    2.300             23.435                           35.878                           14.064
    2.310             23.447                           35.895                           14.071
    2.320             23.458                           35.912                           14.078
    2.330             23.469                           35.930                           14.084
    2.340             23.481                           35.947                           14.091
    2.350             23.492                           35.964                           14.098
    2.360             23.503                           35.981                           14.105
    2.370             23.514                           35.998                           14.111
    2.380             23.525                           36.015                           14.118
    2.390             23.536                           36.032                           14.125
    2.400             23.547                           36.049                           14.131
    2.410             23.558                           36.065                           14.138
